Route 104 Aqua Grunt 		lvl 12
Museum Aqua Grunts 		lvl 17
Leader Brawly 			lvl 21
Leader Roxanne 			lvl 25
Route 117 Chelle 		lvl 32
Leader Wattson 			lvl 35
Cycling Road Rival 		lvl 38
Leader Norman 			lvl 42
Fallarbor Town Vito 		lvl 48
Mt. Chimney Maxie 		lvl 54
Leader Flannery 		lvl 57
Weather Institute Shelly 	lvl 65
Route 119 Rival 		lvl 66
Leader Winona 			lvl 69
Lilycove City Rival 		lvl 73
Mt. Pyre Archie 		lvl 76
Magma Hideout Maxie 		lvl 79
Aqua Hideout Matt 		lvl 81
Leaders Tate & Liza 		lvl 85
Seafloor Cavern Archie	 	lvl 89
Leader Juan 			lvl 91
Victory Road Vito 		lvl 95
Champion Wallace		lvl 99
